,0,1,2,3,4,5
231,1703660400000,42430.0,42452.0,42406.01,42412.01,35.024234
232,1703661300000,42412.01,42451.89,42398.67,42448.18,27.4602
233,1703662200000,42448.18,42490.0,42428.01,42488.87,14.963666
234,1703663100000,42488.87,42504.83,42448.93,42458.0,34.960175
235,1703664000000,42458.0,42471.85,42404.39,42438.41,40.929866
236,1703664900000,42438.41,42565.19,42424.92,42564.01,34.272361
237,1703665800000,42564.01,42735.97,42562.41,42729.27,174.045018
238,1703666700000,42729.27,42749.99,42630.01,42708.54,75.75438
239,1703667600000,42708.54,42725.87,42638.01,42666.0,42.142987
240,1703668500000,42666.0,42707.86,42626.0,42706.01,31.446115
241,1703669400000,42706.01,42727.91,42673.25,42716.01,41.502695
242,1703670300000,42716.01,42745.71,42690.02,42736.01,41.796473
243,1703671200000,42736.01,42750.0,42700.91,42714.0,46.56906
244,1703672100000,42714.0,43089.45,42714.0,43052.0,347.497793
245,1703673000000,43052.0,43203.99,43000.04,43193.0,325.321803
246,1703673900000,43193.0,43214.48,43092.0,43192.92,112.80559
247,1703674800000,43192.92,43221.0,43061.27,43133.98,214.217456
248,1703675700000,43133.98,43133.99,43018.01,43062.01,107.229619
249,1703676600000,43062.01,43108.0,43020.0,43106.83,107.790432
250,1703677500000,43106.83,43111.0,42901.55,43015.0,114.657231
251,1703678400000,43015.0,43049.99,42947.52,42962.95,80.670331
252,1703679300000,42962.95,43018.0,42918.01,43001.0,68.831478
253,1703680200000,43001.0,43006.85,42811.07,42817.91,61.219108
254,1703681100000,42817.91,42936.0,42778.92,42913.57,90.879942
255,1703682000000,42913.57,42932.99,42703.87,42891.99,145.59348
256,1703682900000,42891.99,42962.0,42844.19,42935.97,85.803075
257,1703683800000,42935.97,42985.99,42831.01,42895.85,114.609831
258,1703684700000,42895.85,42925.8,42860.0,42915.12,118.851501
259,1703685600000,42915.12,43012.5,42834.0,42964.01,136.804837
260,1703686500000,42964.01,43101.55,42869.56,42895.95,245.50742
261,1703687400000,42895.95,43114.0,42893.0,43037.1,139.192306
262,1703688300000,43037.1,43157.98,42905.46,42905.47,304.26368
263,1703689200000,42905.47,42964.91,42783.8,42860.1,191.847717
264,1703690100000,42860.1,42928.3,42800.0,42904.01,103.400221
265,1703691000000,42904.01,43077.68,42861.0,43037.99,96.019056
266,1703691900000,43037.99,43063.9,42949.0,42978.0,95.772938
267,1703692800000,42978.0,42997.59,42890.16,42951.75,86.583966
268,1703693700000,42951.75,43162.0,42915.0,43141.0,125.823193
269,1703694600000,43141.0,43191.0,43084.01,43104.0,86.134663
270,1703695500000,43104.0,43127.86,43042.91,43088.0,89.986522
271,1703696400000,43088.0,43144.73,42920.97,42946.91,72.475374
272,1703697300000,42946.91,42955.99,42866.62,42943.99,67.001522
273,1703698200000,42943.99,43055.0,42922.91,42957.56,50.19667
274,1703699100000,42957.56,43027.0,42957.56,43021.99,32.000365
275,1703700000000,43021.99,43100.0,42960.17,42964.58,49.722737
276,1703700900000,42964.58,43019.99,42936.01,42954.0,30.191931
277,1703701800000,42954.0,43057.91,42954.0,43033.08,29.647673
278,1703702700000,43033.08,43220.0,42991.2,43185.79,101.039852
279,1703703600000,43185.79,43194.0,43020.0,43024.91,62.848831
280,1703704500000,43024.91,43197.0,43003.77,43147.09,79.400265
281,1703705400000,43147.09,43162.0,43058.0,43070.72,46.2967
282,1703706300000,43070.72,43162.0,43039.11,43153.59,40.801671
283,1703707200000,43153.59,43200.0,43120.06,43194.94,36.486864
284,1703708100000,43194.94,43339.0,43130.01,43320.0,193.266071
285,1703709000000,43320.0,43492.8,43275.0,43463.0,248.113237
286,1703709900000,43463.0,43557.57,43379.0,43444.91,221.620101
287,1703710800000,43444.91,43490.0,43326.0,43331.5,155.306152
288,1703711700000,43331.5,43390.91,43318.9,43355.99,78.482237
289,1703712600000,43355.99,43402.91,43319.17,43325.0,68.146255
290,1703713500000,43325.0,43366.0,43249.02,43365.99,46.16595
291,1703714400000,43365.99,43633.98,43357.92,43620.0,113.922395
292,1703715300000,43620.0,43667.5,43471.0,43471.99,102.372114
293,1703716200000,43471.99,43524.6,43297.51,43310.0,51.349798
294,1703717100000,43310.0,43431.0,43288.92,43330.0,23.479981
295,1703718000000,43330.0,43467.94,43330.0,43467.94,66.585106
296,1703718900000,43467.94,43476.73,43361.01,43390.45,50.452321
297,1703719800000,43390.45,43455.0,43360.0,43416.01,76.748903
298,1703720700000,43416.01,43438.11,43342.91,43433.25,47.088186
299,1703721600000,43433.25,43474.9,43384.38,43440.0,103.246503
300,1703722500000,43440.0,43604.93,43439.01,43585.0,62.461831
301,1703723400000,43585.0,43791.99,43550.0,43622.19,407.992624
302,1703724300000,43622.19,43701.99,43536.01,43561.0,90.970112
303,1703725200000,43561.0,43716.11,43537.0,43665.61,51.063158
304,1703726100000,43665.61,43702.0,43549.01,43557.0,73.716812
305,1703727000000,43557.0,43666.39,43552.92,43554.0,78.760327
306,1703727900000,43554.0,43554.0,43408.0,43426.78,72.040997
307,1703728800000,43426.78,43458.0,43307.1,43373.99,82.38331
308,1703729700000,43373.99,43464.0,43346.47,43402.0,40.406594
309,1703730600000,43402.0,43453.0,43377.64,43397.76,32.594011
310,1703731500000,43397.76,43443.0,43358.0,43363.91,17.426405
311,1703732400000,43363.91,43398.0,43318.01,43356.0,33.889297
312,1703733300000,43356.0,43415.76,43356.0,43385.32,24.475738
313,1703734200000,43385.32,43386.0,43348.0,43385.99,37.029208
314,1703735100000,43385.99,43416.0,43360.0,43408.0,31.234423
315,1703736000000,43408.0,43480.0,43398.19,43474.01,35.149127
316,1703736900000,43474.01,43624.94,43474.01,43624.94,73.216878
317,1703737800000,43624.94,43624.94,43380.0,43380.01,60.823861
318,1703738700000,43380.01,43410.96,43309.91,43311.01,40.307504
319,1703739600000,43311.01,43363.91,43123.0,43167.2,257.170561
320,1703740500000,43167.2,43260.0,43141.01,43148.01,101.107608
321,1703741400000,43148.01,43261.91,43148.01,43246.91,40.625062
322,1703742300000,43246.91,43279.35,43186.92,43218.58,45.479759
323,1703743200000,43218.58,43218.58,43153.0,43177.01,32.261102
324,1703744100000,43177.01,43177.01,43010.32,43049.0,67.310517
325,1703745000000,43049.0,43126.0,42971.41,43090.91,110.166318
326,1703745900000,43090.91,43122.31,42980.0,43025.27,43.379467
327,1703746800000,43025.27,43057.99,42948.92,42994.71,104.159564
328,1703747700000,42994.71,43057.99,42803.58,42853.92,280.114187
329,1703748600000,42853.92,42945.0,42830.0,42944.99,113.262508
330,1703749500000,42944.99,43043.46,42931.01,43043.46,80.997302
331,1703750400000,43043.46,43067.99,42969.0,43063.84,45.60963
332,1703751300000,43063.84,43063.84,42970.0,42984.0,53.043622
333,1703752200000,42984.0,43045.0,42966.97,43023.99,76.246362
334,1703753100000,43023.99,43051.92,42916.64,42928.0,43.397147
335,1703754000000,42928.0,42956.0,42885.0,42888.01,50.881439
336,1703754900000,42888.01,43011.99,42866.0,42949.0,92.516062
337,1703755800000,42949.0,43093.99,42941.79,43062.23,74.889124
338,1703756700000,43062.23,43093.91,43032.8,43048.44,43.529285
339,1703757600000,43048.44,43126.91,43013.42,43126.91,44.669396
340,1703758500000,43126.91,43146.5,43098.95,43123.0,46.452576
341,1703759400000,43123.0,43180.0,43121.37,43154.01,27.374666
342,1703760300000,43154.01,43197.56,43101.0,43101.01,38.358977
343,1703761200000,43101.01,43139.0,43060.0,43061.6,58.036908
344,1703762100000,43061.6,43092.0,43013.01,43082.84,24.619123
345,1703763000000,43082.84,43112.0,43049.01,43090.91,26.835698
346,1703763900000,43090.91,43090.92,43034.0,43062.0,39.253673
347,1703764800000,43062.0,43123.0,43028.0,43113.99,33.334684
348,1703765700000,43113.99,43123.23,42919.33,42957.99,52.713244
349,1703766600000,42957.99,42958.68,42852.31,42909.0,76.414153
350,1703767500000,42909.0,42955.61,42741.19,42784.91,159.585503
351,1703768400000,42784.91,42823.99,42567.55,42682.91,343.098885
352,1703769300000,42682.91,42926.72,42682.91,42850.0,96.385447
353,1703770200000,42850.0,42897.0,42722.0,42827.99,82.062482
354,1703771100000,42827.99,42882.0,42785.01,42790.91,52.509834
355,1703772000000,42790.91,42824.0,42634.91,42722.03,133.989231
356,1703772900000,42722.03,42776.67,42583.87,42758.53,436.187855
357,1703773800000,42758.53,42802.79,42592.3,42595.99,166.29544
358,1703774700000,42595.99,42661.91,42456.76,42661.9,328.130403
359,1703775600000,42661.9,42709.08,42548.0,42620.92,112.329882
360,1703776500000,42620.92,42628.0,42435.0,42448.91,194.745606
361,1703777400000,42448.91,42521.99,42407.71,42430.36,110.30307
362,1703778300000,42430.36,42515.99,42404.1,42447.99,173.215938
363,1703779200000,42447.99,42481.64,42335.92,42398.01,217.962257
364,1703780100000,42398.01,42405.0,42266.63,42322.92,146.462011
365,1703781000000,42322.92,42521.73,42298.01,42481.92,64.286055
366,1703781900000,42481.92,42565.12,42428.0,42454.46,75.437483
367,1703782800000,42454.46,42526.91,42454.46,42511.81,53.888032
368,1703783700000,42511.81,42636.0,42503.01,42570.71,61.331516
369,1703784600000,42570.71,42625.0,42540.0,42559.71,57.16657
370,1703785500000,42559.71,42565.0,42459.81,42538.0,39.066785
371,1703786400000,42538.0,42563.91,42440.01,42524.99,53.030537
372,1703787300000,42524.99,42573.0,42425.75,42572.99,41.827531
373,1703788200000,42572.99,42634.32,42385.69,42407.85,137.95306
374,1703789100000,42407.85,42487.9,42398.01,42480.0,48.345093
375,1703790000000,42480.0,42600.0,42458.0,42596.01,63.737375
376,1703790900000,42596.01,42729.99,42562.32,42604.91,196.0977
377,1703791800000,42604.91,42610.91,42525.55,42600.99,46.996049
378,1703792700000,42600.99,42645.0,42573.01,42608.02,50.934857
379,1703793600000,42608.02,42616.91,42413.73,42437.45,79.975488
380,1703794500000,42437.45,42503.71,42432.01,42462.92,42.83247
381,1703795400000,42462.92,42557.21,42365.01,42529.9,71.1635
382,1703796300000,42529.9,42535.0,42482.12,42506.43,54.41662
383,1703797200000,42506.43,42613.91,42444.0,42590.04,48.196628
384,1703798100000,42590.04,42599.41,42560.03,42592.91,19.693936
385,1703799000000,42592.91,42592.99,42457.4,42457.4,56.679316
386,1703799900000,42457.4,42479.34,42339.82,42455.05,95.162043
387,1703800800000,42455.05,42595.0,42381.86,42595.0,37.214881
388,1703801700000,42595.0,42595.0,42488.0,42496.9,33.938905
389,1703802600000,42496.9,42558.0,42496.9,42558.0,25.936335
390,1703803500000,42558.0,42631.55,42555.0,42631.55,23.737356
391,1703804400000,42631.55,42637.99,42529.0,42555.99,50.928133
392,1703805300000,42555.99,42732.24,42538.01,42697.02,59.123415
393,1703806200000,42697.02,42744.0,42655.18,42710.23,43.651589
394,1703807100000,42710.23,42718.0,42565.01,42565.01,41.091447
395,1703808000000,42565.01,42678.0,42565.01,42673.23,67.541418
396,1703808900000,42673.23,42685.99,42572.86,42626.62,66.292226
397,1703809800000,42626.62,42644.0,42513.27,42598.99,78.285688
398,1703810700000,42598.99,42617.54,42375.6,42409.91,104.906275
399,1703811600000,42409.91,42512.5,42155.0,42459.99,410.648742
400,1703812500000,42459.99,42537.0,42307.5,42385.91,132.138838
401,1703813400000,42385.91,42412.6,42102.55,42253.92,261.192321
402,1703814300000,42253.92,42341.02,42156.01,42329.84,138.840145
403,1703815200000,42329.84,42364.86,42263.6,42305.31,46.744163
404,1703816100000,42305.31,42390.0,42296.46,42326.59,69.56202
405,1703817000000,42326.59,42453.3,42320.0,42447.0,58.512387
406,1703817900000,42447.0,42613.75,42438.54,42571.99,62.444704
407,1703818800000,42571.99,42585.99,42518.01,42522.96,34.683856
408,1703819700000,42522.96,42590.0,42454.0,42577.0,39.0519
409,1703820600000,42577.0,42799.18,42569.0,42712.0,183.420558
410,1703821500000,42712.0,42775.91,42694.73,42694.74,62.884186
411,1703822400000,42694.74,42765.0,42657.0,42669.69,58.717899
412,1703823300000,42669.69,42681.0,42594.85,42614.4,34.321903
